Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
30-Jan,1,1,0,0,0,0
31-Jan,0,1,0,0,0,0
1-Feb,0,1,0,0,0,0
2-Feb,1,2,0,0,0,0
3-Feb,1,3,0,0,0,0
4-Feb,0,3,0,0,0,0
5-Feb,0,3,0,0,0,0
6-Feb,0,3,0,0,0,0
7-Feb,0,3,0,0,0,0
8-Feb,0,3,0,0,0,0
9-Feb,0,3,0,0,0,0
10-Feb,0,3,0,0,0,0
11-Feb,0,3,0,0,0,0
12-Feb,0,3,0,0,0,0
13-Feb,0,3,1,1,0,0
14-Feb,0,3,0,1,0,0
15-Feb,0,3,0,1,0,0
16-Feb,0,3,1,2,0,0
17-Feb,0,3,0,2,0,0
18-Feb,0,3,0,2,0,0
19-Feb,0,3,0,2,0,0
20-Feb,0,3,1,3,0,0
21-Feb,0,3,0,3,0,0
22-Feb,0,3,0,3,0,0
23-Feb,0,3,0,3,0,0
24-Feb,0,3,0,3,0,0
25-Feb,0,3,0,3,0,0
26-Feb,0,3,0,3,0,0
27-Feb,0,3,0,3,0,0
28-Feb,0,3,0,3,0,0
29 February ,0,3,0,3,0,0
1-Mar,0,3,0,3,0,0
2-Mar,2,5,0,3,0,0
3-Mar,1,6,0,3,0,0
4-Mar,22,28,0,3,0,0
5-Mar,2,30,0,3,0,0
6-Mar,1,31,0,3,0,0
7-Mar,3,34,0,3,0,0
8-Mar,5,39,0,3,0,0
9-Mar,9,48,0,3,0,0
10-Mar,15,63,1,4,0,0
11-Mar,8,71,0,4,0,0
12-Mar,10,81,0,4,1,1
13-Mar,10,91,6,10,0,1
14-Mar,11,102,0,10,1,2
15-Mar,10,112,3,13,0,2
16-Mar,14,126,1,14,0,2
17-Mar,20,146,1,15,1,3
18-Mar,25,171,0,15,0,3
19-Mar,27,198,5,20,1,4
20-Mar,58,256,3,23,0,4
21-Mar,78,334,0,23,0,4
22-Mar,69,403,0,23,3,7
23-Mar,94,497,2,25,2,9
24-Mar,74,571,15,40,1,10
25-Mar,86,657,3,43,1,11
26-Mar,73,730,7,50,5,16
27-Mar,20,883,25,75,3,19
28-Mar,10,1019,10,85,5,24
29-Mar,15,1139,17,102,3,27
30-Mar,0,1326,35,137,14,41
31-Mar,10,1635,13,150,6,47
1-Apr,20,2059,19,169,6,53
2-Apr,30,2545,22,191,16,69
3-Apr,35,3105,39,230,14,83
4-Apr,20,3684,56,286,13,96
5-Apr,10,4293,43,329,22,118
6-Apr,10,4777,65,394,16,134
7-Apr,10,5350,75,469,27,161
8-Apr,23,5915,96,565,20,181
9-Apr,1,6728,70,635,46,227
10-Apr,5,7599,151,786,22,249
11-Apr,6,8453,186,972,41,290
12-Apr,8,9211,114,1086,42,332
13-Apr,2,10454,112,1198,27,359
14-Apr,7,11485,167,1365,37,396
15-Apr,34,12371,144,1509,27,423
16-Apr,78,13432,258,1767,26,449
17-Apr,34,14354,273,2040,38,487
18-Apr,72,15725,426,2466,35,522
19-Apr,4,17305,388,2854,38,560
20-Apr,6,18544,419,3273,33,593
21-Apr,6,20081,703,3976,53,646
22-Apr,6,21373,394,4370,36,682
23-Apr,6,23040,642,5012,40,722
24-Apr,6,24448,484,5496,59,781
25-Apr,6,26283,442,5938,44,825
26-Apr,6,27890,585,6523,56,881
27-Apr,6,29458,580,7103,58,939
28-Apr,6,31360,636,7739,69,1008
29-Apr,0,33065,690,8429,71,1079
30-Apr,0,34866,630,9059,75,1154
1-May,0,37262,962,10021,77,1231
2-May,0,39826,831,10852,92,1323
3-May,0,42778,911,11763,140,1463
4-May,0,46434,1082,12845,103,1566
5-May,0,49405,1295,14140,128,1694
6-May,0,53007,1161,15301,91,1785
7-May,0,56351,1475,16776,104,1889
8-May,0,59690,1111,17887,97,1986
9-May,4,62865,1414,19301,115,2101
10-May,6,67176,1669,20970,112,2213
11-May,2,70768,1579,22549,81,2294
12-May,6,74330,1905,24454,120,2414
13-May,98,78056,1964,26418,136,2550
