Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
1-Apr,4,1,0,0,0,0
2-Apr,10,1,0,0,0,0
3-Apr,12,1,0,0,0,0
4-Apr,0,2,0,0,0,0
5-Apr,5,3,0,0,0,0
6-Apr,7,3,0,0,0,0
7-Apr,0,3,0,0,0,0
8-Apr,0,3,0,0,0,0
9-Apr,20,3,0,0,0,0
10-Apr,6,3,0,0,0,0
11-Apr,0,3,0,0,0,0
12-Apr,16,3,0,0,0,0
13-Apr,0,3,0,0,0,0
14-Apr,30,3,0,0,0,0
15-Apr,56,3,1,1,0,0
16-Apr,12,3,0,1,0,0
17-Apr,0,3,0,1,0,0
18-Apr,4,3,0,3,0,0
19-Apr,4,3,0,3,0,0
20-Apr,7,5,0,3,0,0
21-Apr,9,6,0,3,0,0
22-Apr,0,28,0,3,0,0
23-Apr,10,30,0,3,0,0
24-Apr,10,31,0,3,0,0
25-Apr,15,34,0,3,0,0
26-Apr,20,39,0,3,0,0
27-Apr,25,48,0,3,0,0
28-Apr,30,3,0,3,0,0
29-Apr,40,3,0,3,0,0
30-Apr,45,3,0,3,0,0
